,Date,JPYKRW
916,2016-03-17,1047.54
917,2016-03-16,1050.16
918,2016-03-15,1052.63
919,2016-03-14,1045.43
920,2016-03-11,1049.95
921,2016-03-10,1058.71
922,2016-03-09,1079.62
923,2016-03-08,1070.23
924,2016-03-07,1061.58
925,2016-03-04,1061.1
926,2016-03-03,1067.45
927,2016-03-02,1073.15
928,2016-02-29,1095.7
929,2016-02-26,1096.09
930,2016-02-25,1107.24
931,2016-02-24,1100.86
932,2016-02-23,1098.58
933,2016-02-22,1091.47
934,2016-02-19,1090.47
935,2016-02-18,1081.83
936,2016-02-17,1077.73
937,2016-02-16,1062.06
938,2016-02-15,1061.2
939,2016-02-12,1072.82
940,2016-02-11,1077.9
941,2016-02-05,1024.29
942,2016-02-04,1018.18
943,2016-02-03,1014.25
944,2016-02-02,1001.91
945,2016-02-01,991.67
946,2016-01-29,997.6
947,2016-01-28,1015.15
948,2016-01-27,1017.51
949,2016-01-26,1020.67
950,2016-01-25,1012.34
951,2016-01-22,1013.95
952,2016-01-21,1038.33
953,2016-01-20,1048.07
954,2016-01-19,1024.28
955,2016-01-18,1032.91
956,2016-01-15,1033.87
957,2016-01-14,1031.44
958,2016-01-13,1017.75
959,2016-01-12,1032.27
960,2016-01-11,1023.67
961,2016-01-08,1012.75
962,2016-01-07,1020.58
963,2016-01-06,1012.15
964,2016-01-05,997.48
965,2016-01-04,999.41
966,2015-12-31,978.07
967,2015-12-30,974.09
968,2015-12-29,970.68
969,2015-12-28,966.99
970,2015-12-24,972.58
971,2015-12-23,972.31
972,2015-12-22,967.13
973,2015-12-21,969.61
974,2015-12-18,977.06
975,2015-12-17,964.54
976,2015-12-16,965.7
977,2015-12-15,976.36
978,2015-12-14,978.05
979,2015-12-11,969.08
980,2015-12-10,969.78
981,2015-12-09,962.62
982,2015-12-08,957.16
983,2015-12-07,946.44
984,2015-12-04,945.44
985,2015-12-03,942.99
986,2015-12-02,944.86
987,2015-12-01,942.08
988,2015-11-30,941.69
989,2015-11-27,944.52
990,2015-11-26,938.21
991,2015-11-25,934.72
992,2015-11-24,941.95
993,2015-11-23,941.92
994,2015-11-20,941.32
995,2015-11-19,944.73
996,2015-11-18,949.79
997,2015-11-17,950.78
998,2015-11-16,954.72
999,2015-11-13,949.98
1000,2015-11-12,942.91
1001,2015-11-11,938.85
1002,2015-11-10,939.96
1003,2015-11-09,939.07
1004,2015-11-06,937.06
1005,2015-11-05,935.65
1006,2015-11-04,934.69
1007,2015-11-03,938.41
1008,2015-11-02,945.77
1009,2015-10-30,943.33
